Year ,Geo,VisibleMinority,AgeGroup,Indicators,Statistics,Uom,Value
2020,Canada,South Asian,Second generation,"Discrimination at work or when applying for a job or promotion, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Second generation,"Discrimination when dealing with the police, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Second generation,"Discrimination when dealing with the police, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Second generation,"Discrimination when dealing with the police, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Second generation,"Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Second generation,"Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Second generation,"Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Second generation,"Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Second generation,"Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Second generation,"Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination, 5 years before COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on religion, 5 years before COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on religion, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on religion, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on language, 5 years before COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on language, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on language, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination at work or when applying for a job or a promotion, 5 years before COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination at work or when applying for a job or a promotion, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination at work or when applying for a job or a promotion, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination when dealing with the police, 5 years before COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination when dealing with the police, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination when dealing with the police, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination in a store, bank or restaurant, 5 years before COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination in a store, bank or restaurant, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination in a store, bank or restaurant, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination when attending school or classes, 5 years before COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination when attending school or classes, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination when attending school or classes, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,Experience(s) of discrimination since the beginning of COVID-19 pandemic,Percentage of persons,Percent,
2020,Canada,South Asian,Third generation or more,Experience(s) of discrimination since the beginning of COVID-19 pandemic,"Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,Experience(s) of discrimination since the beginning of COVID-19 pandemic,"Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on ethnicity or culture, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on ethnicity or culture, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on ethnicity or culture, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on race or colour, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on race or colour, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on race or colour, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on religion, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on religion, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on religion, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on language, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on language, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Experience(s) of discrimination based on language, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination at work or when applying for a job or promotion, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination at work or when applying for a job or promotion, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination at work or when applying for a job or promotion, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination when dealing with the police, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination when dealing with the police, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination when dealing with the police, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Third generation or more,"Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination, 5 years before COVID-19 pandemic",Percentage of persons,Percent,50.1
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,44.6
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,55.6
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic",Percentage of persons,Percent,35.4
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,30.1
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,41.1
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic",Percentage of persons,Percent,37.5
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,32.2
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,43.1
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on religion, 5 years before COVID-19 pandemic",Percentage of persons,Percent,18.6
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on religion, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,14.5
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on religion, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,23.7
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on language, 5 years before COVID-19 pandemic",Percentage of persons,Percent,17.4
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on language, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,12.8
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on language, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,23.1
2020,Canada,South Asian,"First official language spoken, English only","Discrimination at work or when applying for a job or a promotion, 5 years before COVID-19 pandemic",Percentage of persons,Percent,57.4
2020,Canada,South Asian,"First official language spoken, English only","Discrimination at work or when applying for a job or a promotion, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,49.8
2020,Canada,South Asian,"First official language spoken, English only","Discrimination at work or when applying for a job or a promotion, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,64.7
2020,Canada,South Asian,"First official language spoken, English only","Discrimination when dealing with the police, 5 years before COVID-19 pandemic",Percentage of persons,Percent,17.6
2020,Canada,South Asian,"First official language spoken, English only","Discrimination when dealing with the police, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,12.8
2020,Canada,South Asian,"First official language spoken, English only","Discrimination when dealing with the police, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,23.7
2020,Canada,South Asian,"First official language spoken, English only","Discrimination in a store, bank or restaurant, 5 years before COVID-19 pandemic",Percentage of persons,Percent,55.9
2020,Canada,South Asian,"First official language spoken, English only","Discrimination in a store, bank or restaurant, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,48.2
2020,Canada,South Asian,"First official language spoken, English only","Discrimination in a store, bank or restaurant, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,63.4
2020,Canada,South Asian,"First official language spoken, English only","Discrimination when attending school or classes, 5 years before COVID-19 pandemic",Percentage of persons,Percent,22.5
2020,Canada,South Asian,"First official language spoken, English only","Discrimination when attending school or classes, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,16.5
2020,Canada,South Asian,"First official language spoken, English only","Discrimination when attending school or classes, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,29.8
2020,Canada,South Asian,"First official language spoken, English only",Experience(s) of discrimination since the beginning of COVID-19 pandemic,Percentage of persons,Percent,23.8
2020,Canada,South Asian,"First official language spoken, English only",Experience(s) of discrimination since the beginning of COVID-19 pandemic,"Lower 95% confidence interval, percentage of persons",Percent,19.5
2020,Canada,South Asian,"First official language spoken, English only",Experience(s) of discrimination since the beginning of COVID-19 pandemic,"Upper 95% confidence interval, percentage of persons",Percent,28.7
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on ethnicity or culture, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,14.8
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on ethnicity or culture, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,11.2
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on ethnicity or culture, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,19.4
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on race or colour, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,17.6
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on race or colour, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,13.9
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on race or colour, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,22
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on religion, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,6.6
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on religion, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,4.6
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on religion, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,9.6
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on language, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,7.4
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on language, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,4.4
2020,Canada,South Asian,"First official language spoken, English only","Experience(s) of discrimination based on language, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,12.1
2020,Canada,South Asian,"First official language spoken, English only","Discrimination at work or when applying for a job or promotion, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,36.6
2020,Canada,South Asian,"First official language spoken, English only","Discrimination at work or when applying for a job or promotion, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,27.6
2020,Canada,South Asian,"First official language spoken, English only","Discrimination at work or when applying for a job or promotion, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,46.7
2020,Canada,South Asian,"First official language spoken, English only","Discrimination when dealing with the police, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,6.1
2020,Canada,South Asian,"First official language spoken, English only","Discrimination when dealing with the police, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,2.6
2020,Canada,South Asian,"First official language spoken, English only","Discrimination when dealing with the police, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,13.3
2020,Canada,South Asian,"First official language spoken, English only","Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic",Percentage of persons,Percent,51.8
2020,Canada,South Asian,"First official language spoken, English only","Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,40.9
2020,Canada,South Asian,"First official language spoken, English only","Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,62.6
2020,Canada,South Asian,"First official language spoken, English only","Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic",Percentage of persons,Percent,8.6
2020,Canada,South Asian,"First official language spoken, English only","Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,4.2
2020,Canada,South Asian,"First official language spoken, English only","Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,16.7
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination, 5 years before COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on religion, 5 years before COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on religion, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on religion, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on language, 5 years before COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on language, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on language, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination at work or when applying for a job or a promotion, 5 years before COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination at work or when applying for a job or a promotion, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination at work or when applying for a job or a promotion, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination when dealing with the police, 5 years before COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination when dealing with the police, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination when dealing with the police, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination in a store, bank or restaurant, 5 years before COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination in a store, bank or restaurant, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination in a store, bank or restaurant, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination when attending school or classes, 5 years before COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination when attending school or classes, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination when attending school or classes, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only",Experience(s) of discrimination since the beginning of COVID-19 pandemic,Percentage of persons,Percent,
2020,Canada,South Asian,"First official language spoken, French only",Experience(s) of discrimination since the beginning of COVID-19 pandemic,"Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only",Experience(s) of discrimination since the beginning of COVID-19 pandemic,"Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on ethnicity or culture, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on ethnicity or culture, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on ethnicity or culture, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on race or colour, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on race or colour, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on race or colour, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on religion, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on religion, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on religion, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on language, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on language, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Experience(s) of discrimination based on language, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination at work or when applying for a job or promotion, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination at work or when applying for a job or promotion, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination at work or when applying for a job or promotion, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination when dealing with the police, since the beginning of COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination when dealing with the police, since the beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination when dealing with the police, since the beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination in a store, bank or restaurant, since the  beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic",Percentage of persons,Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,"First official language spoken, French only","Discrimination when attending school or classes, since the  beginning of COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,
2020,Canada,South Asian,Secondary (high) school diploma or equivalency certificate or less,"Experience(s) of discrimination, 5 years before COVID-19 pandemic",Percentage of persons,Percent,48
2020,Canada,South Asian,Secondary (high) school diploma or equivalency certificate or less,"Experience(s) of discrimination, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,37.3
2020,Canada,South Asian,Secondary (high) school diploma or equivalency certificate or less,"Experience(s) of discrimination, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,58.9
2020,Canada,South Asian,Secondary (high) school diploma or equivalency certificate or less,"Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic",Percentage of persons,Percent,30.9
2020,Canada,South Asian,Secondary (high) school diploma or equivalency certificate or less,"Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,21.1
2020,Canada,South Asian,Secondary (high) school diploma or equivalency certificate or less,"Experience(s) of discrimination based on ethnicity or culture, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,42.7
2020,Canada,South Asian,Secondary (high) school diploma or equivalency certificate or less,"Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic",Percentage of persons,Percent,33.9
2020,Canada,South Asian,Secondary (high) school diploma or equivalency certificate or less,"Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic","Lower 95% confidence interval, percentage of persons",Percent,24.1
2020,Canada,South Asian,Secondary (high) school diploma or equivalency certificate or less,"Experience(s) of discrimination based on race or colour, 5 years before COVID-19 pandemic","Upper 95% confidence interval, percentage of persons",Percent,45.3
2020,Canada,South Asian,Secondary (high) school diploma or equivalency certificate or less,"Experience(s) of discrimination based on religion, 5 years before COVID-19 pandemic",Percentage of persons,Percent,18.6
